label,message
spam,Your Flipkart account shows unusual activity. Confirm your password at http://tinyurl.com/claim-reward to avoid suspension.
ham,Your OTP for login is 483920. Do not share this with anyone.
spam,Your Flipkart subscription payment failed. Update payment info urgently at http://bit.ly/verify-now to avoid account closure.
ham,Your electricity bill for this month has been paid successfully.
spam,Security alert: unusual sign-in detected. Confirm it's you and enter OTP at http://account-verify.top/otp immediately.
ham,Reminder: your appointment with Dr. Sharma is scheduled for 4:30 PM today.
spam,Your parcel is on hold due to unpaid customs fee of Rs. 999. Pay here: http://bit.ly/verify-now
ham,Can you send me the notes from today's class?
spam,"Limited time offer! Get Rs. 4,999 cashback instantly, just verify your UPI PIN at http://account-verify.top/otp"
ham,"Let's catch up this weekend, it's been a while!"
spam,"Your parcel is on hold due to unpaid customs fee of Rs. 4,999. Pay here: http://bit.ly/verify-now"
ham,Happy birthday Vikram! Hope you have a wonderful day.
spam,"Limited time offer! Get Rs. 15,750 cashback instantly, just verify your UPI PIN at http://tinyurl.com/claim-reward"
ham,Can you pick up milk on your way home?
spam,You have received a refund of $500. Click http://secure-kyc-update.info/login and enter your OTP to receive the amount.
ham,Meeting rescheduled to 3 PM in conference room B.
spam,"Job offer: Earn Rs. 15,750 per day working from home. Register now at http://bit.ly/verify-now, limited seats!"
ham,The project deadline has been moved to next Friday.
spam,"Job offer: Earn $500 per day working from home. Register now at http://account-verify.top/otp, limited seats!"
ham,Good morning! Don't forget the team standup at 10.
spam,Security alert: unusual sign-in detected. Confirm it's you and enter OTP at http://t.co/x9Ks2 immediately.
spam,"Congratulations! You have won Rs. 4,999 in the lucky draw. Claim now at http://secure-kyc-update.info/login before it expires today."
ham,"Your payment of Rs. 4,999 to Vikram was successful."
spam,"Limited time offer! Get Rs. 999 cashback instantly, just verify your UPI PIN at http://payment-refund.xyz/claim"
spam,Your Axis Bank debit card is expiring today. Renew instantly by sharing OTP sent to your phone.
ham,Your order from your telecom provider has been shipped and will arrive in 2 days.
spam,Your Kotak Bank debit card is expiring today. Renew instantly by sharing OTP sent to your phone.
spam,"Job offer: Earn Rs. 4,999 per day working from home. Register now at http://bit.ly/verify-now, limited seats!"
ham,"Mom, I'll be home by 8, please don't wait for dinner."
spam,"We could not deliver your package. Reschedule and pay Rs. 4,999 fee at http://payment-refund.xyz/claim within 12 hours."
ham,"I'll call you once I land, flight is on time."
spam,"Your income tax refund of Rs. 4,999 is approved. Submit your bank details at http://secure-kyc-update.info/login to receive it."
spam,Alert! Someone tried to login to your account. Verify identity now at http://t.co/x9Ks2 within 24 hours.
ham,Happy birthday Priya! Hope you have a wonderful day.
spam,Alert! Someone tried to login to your account. Verify identity now at http://account-verify.top/otp within 24 hours.
spam,"We could not deliver your package. Reschedule and pay Rs. 1,20,000 fee at http://secure-kyc-update.info/login within 12 hours."
ham,"Your payment of Rs. 1,20,000 to Anjali was successful."
spam,Congratulations! You have won $500 in the lucky draw. Claim now at http://t.co/x9Ks2 before it expires today.
spam,"Your parcel is on hold due to unpaid customs fee of Rs. 1,20,000. Pay here: http://secure-kyc-update.info/login"
ham,Your order from Google Pay has been shipped and will arrive in 2 days.
spam,Your Amazon account shows unusual activity. Confirm your password at http://payment-refund.xyz/claim to avoid suspension.
spam,"CONGRATULATIONS Rahul! Your number has won a lottery of Rs. 25,000. Reply with your bank details to claim."
ham,Your order from PayTM has been shipped and will arrive in 2 days.
spam,"Job offer: Earn Rs. 4,999 per day working from home. Register now at http://payment-refund.xyz/claim, limited seats!"
spam,"Dear customer, your ATM card will be blocked today. Update your details now: http://t.co/x9Ks2"
spam,"Dear customer, your ATM card will be blocked today. Update your details now: http://payment-refund.xyz/claim"
ham,"Thanks for the help yesterday, really appreciate it!"
spam,CONGRATULATIONS Arjun! Your number has won a lottery of $500. Reply with your bank details to claim.
spam,Your Flipkart account shows unusual activity. Confirm your password at http://secure-kyc-update.info/login to avoid suspension.
spam,"Limited time offer! Get Rs. 499 cashback instantly, just verify your UPI PIN at http://t.co/x9Ks2"
spam,Your your telecom provider account shows unusual activity. Confirm your password at http://bit.ly/verify-now to avoid suspension.
ham,"See you at the gym at 6, don't be late this time."
spam,"Job offer: Earn $500 per day working from home. Register now at http://t.co/x9Ks2, limited seats!"
spam,Your Netflix subscription payment failed. Update payment info urgently at http://bit.ly/verify-now to avoid account closure.
spam,Your your telecom provider subscription payment failed. Update payment info urgently at http://bit.ly/verify-now to avoid account closure.
spam,Final notice: pay Rs. 999 immediately or legal action will be taken. Pay now at http://tinyurl.com/claim-reward
spam,Security alert: unusual sign-in detected. Confirm it's you and enter OTP at http://payment-refund.xyz/claim immediately.
spam,You have received a refund of Rs. 999. Click http://account-verify.top/otp and enter your OTP to receive the amount.
spam,"We could not deliver your package. Reschedule and pay Rs. 25,000 fee at http://account-verify.top/otp within 12 hours."
spam,"Your income tax refund of Rs. 1,20,000 is approved. Submit your bank details at http://payment-refund.xyz/claim to receive it."
ham,Don't forget to bring the documents for the meeting on Monday.
spam,Your your telecom provider subscription payment failed. Update payment info urgently at http://tinyurl.com/claim-reward to avoid account closure.
spam,Your Google Pay subscription payment failed. Update payment info urgently at http://t.co/x9Ks2 to avoid account closure.
spam,You have received a refund of Rs. 499. Click http://tinyurl.com/claim-reward and enter your OTP to receive the amount.
ham,"Hey Vikram, are we still meeting for lunch tomorrow at 1pm?"
spam,"Job offer: Earn Rs. 1,20,000 per day working from home. Register now at http://account-verify.top/otp, limited seats!"
spam,URGENT: Your SBI account has been suspended. Verify your KYC immediately at http://account-verify.top/otp or it will be permanently blocked.
ham,Your payment of Rs. 499 to Vikram was successful.
ham,"Your payment of Rs. 25,000 to Anjali was successful."
spam,Security alert: unusual sign-in detected. Confirm it's you and enter OTP at http://bit.ly/verify-now immediately.
spam,"Your income tax refund of Rs. 15,750 is approved. Submit your bank details at http://payment-refund.xyz/claim to receive it."
spam,"We could not deliver your package. Reschedule and pay Rs. 25,000 fee at http://tinyurl.com/claim-reward within 12 hours."
spam,"Dear customer, your ATM card will be blocked today. Update your details now: http://secure-kyc-update.info/login"
ham,"Your payment of Rs. 15,750 to Rahul was successful."
spam,"CONGRATULATIONS Arjun! Your number has won a lottery of Rs. 4,999. Reply with your bank details to claim."
ham,Your payment of $500 to Sneha was successful.
spam,Final notice: pay Rs. 499 immediately or legal action will be taken. Pay now at http://bit.ly/verify-now
ham,"Hey Amit, are we still meeting for lunch tomorrow at 1pm?"
spam,"Free recharge of Rs. 4,999 is waiting for you! Click http://account-verify.top/otp now, offer ends soon."
spam,Your parcel is on hold due to unpaid customs fee of $500. Pay here: http://tinyurl.com/claim-reward
spam,URGENT: Your ICICI Bank account has been suspended. Verify your KYC immediately at http://t.co/x9Ks2 or it will be permanently blocked.
spam,Your income tax refund of Rs. 999 is approved. Submit your bank details at http://bit.ly/verify-now to receive it.
spam,"Final notice: pay Rs. 25,000 immediately or legal action will be taken. Pay now at http://t.co/x9Ks2"
spam,"Free recharge of Rs. 15,750 is waiting for you! Click http://secure-kyc-update.info/login now, offer ends soon."
spam,URGENT: Your Axis Bank account has been suspended. Verify your KYC immediately at http://tinyurl.com/claim-reward or it will be permanently blocked.
spam,"Free recharge of Rs. 4,999 is waiting for you! Click http://payment-refund.xyz/claim now, offer ends soon."
spam,We could not deliver your package. Reschedule and pay $500 fee at http://account-verify.top/otp within 12 hours.
ham,Happy birthday Sneha! Hope you have a wonderful day.
spam,Your electricity bill of Rs. 499 is overdue and will be disconnected tonight. Pay immediately: http://payment-refund.xyz/claim
spam,Your ICICI Bank debit card is expiring today. Renew instantly by sharing OTP sent to your phone.
spam,"Your parcel is on hold due to unpaid customs fee of Rs. 1,20,000. Pay here: http://tinyurl.com/claim-reward"
spam,URGENT: Your PNB account has been suspended. Verify your KYC immediately at http://secure-kyc-update.info/login or it will be permanently blocked.
spam,"We could not deliver your package. Reschedule and pay Rs. 15,750 fee at http://bit.ly/verify-now within 12 hours."
ham,Happy birthday Rahul! Hope you have a wonderful day.
spam,Final notice: pay Rs. 499 immediately or legal action will be taken. Pay now at http://tinyurl.com/claim-reward
spam,"CONGRATULATIONS Vikram! Your number has won a lottery of Rs. 1,20,000. Reply with your bank details to claim."
spam,Your parcel is on hold due to unpaid customs fee of $500. Pay here: http://bit.ly/verify-now
